train_accuracy;train_loss;valid_accuracy;valid_loss
4,6870;4,8363;7,1600;4,4860
11,5080;4,2910;10,6600;4,3708
17,1350;3,9471;10,8600;4,5396
21,2780;3,7075;8,8900;5,0967
25,5670;3,5030;18,5200;3,8750
29,6450;3,2777;22,1300;3,9978
32,8400;3,1973;21,6200;3,9984
36,3110;3,0026;32,0500;3,1532
39,3120;2,9052;31,5100;3,2614
40,8330;2,8663;34,5500;3,0444
29,5330;3,3625;19,6500;4,0231
32,5070;3,2121;22,8200;3,8444
34,7800;3,1260;23,5100;3,8903
37,0360;2,9991;32,8800;2,9727
38,6200;2,9178;34,9900;2,8159
38,7950;2,9577;30,9900;3,1772
41,7760;2,8037;35,2400;2,9045
42,2160;2,8340;36,8300;2,8048
43,6560;2,7846;38,7100;2,6293
46,6470;2,6000;43,0600;2,3723
47,6200;2,5478;45,5700;2,3380
49,1680;2,5110;44,9200;2,3912
51,1610;2,4067;46,9900;2,3221
52,5650;2,3719;49,7100;2,1614
55,9030;2,2101;51,7400;2,0572
56,0420;2,2795;54,4400;1,9333
61,0900;2,0434;54,7300;1,9762
60,3590;2,1272;57,1800;1,8010
63,6430;1,9085;57,9300;1,8174
62,8290;2,0208;58,1200;1,8040
41,0550;2,8547;28,4100;3,4223
42,4880;2,8179;35,9700;2,8888
44,4640;2,7104;35,0200;2,9403
45,6570;2,6206;40,7900;2,5390
45,7060;2,6351;36,5900;2,8407
46,8580;2,6101;33,2600;3,0816
46,8460;2,6021;41,2900;2,6536
47,3000;2,5819;39,7200;2,6392
48,0090;2,5847;39,4100;2,7209
48,0680;2,5459;39,3400;2,8256
48,3410;2,5801;43,2800;2,3940
49,4350;2,4131;36,0300;2,8986
49,4850;2,5053;45,6800;2,2719
50,4240;2,4184;43,7700;2,5044
50,6850;2,4787;42,6800;2,7009
51,6810;2,3906;46,3300;2,2596
51,7470;2,3784;43,3400;2,4146
53,4710;2,3600;46,6500;2,2224
53,8380;2,3247;49,1800;2,1443
55,1090;2,2239;48,2900;2,2920
55,3490;2,2215;50,1300;2,3191
57,7100;2,1956;39,7100;2,7808
59,0220;2,0724;48,6900;2,2779
58,1720;2,1269;52,8600;2,1530
58,8140;2,1191;53,1500;2,0011
60,6570;2,0711;52,0000;2,0456
62,4340;1,9157;53,2500;1,9668
65,6390;1,7481;56,8000;1,9135
64,3010;1,9121;54,8400;1,9600
65,3590;1,8690;57,1400;2,0766
66,8730;1,8023;57,7000;1,8346
70,5630;1,6785;57,8800;1,9723
69,8680;1,7242;58,9100;1,9005
70,0210;1,7323;59,5500;1,7222
73,4240;1,5371;59,5100;1,7298
74,6870;1,5544;59,3200;1,7428
75,0370;1,4976;60,3200;1,7358
76,8020;1,4380;60,4000;1,8086
75,6890;1,5508;60,4100;1,7729
76,0100;1,5161;59,9300;1,7221
42,4250;2,8023;36,5500;2,7562
47,6020;2,5020;35,8800;3,0540
49,1870;2,4652;39,8000;2,7594
49,2460;2,4544;40,3500;2,6866
49,7410;2,4298;43,9300;2,4770
50,3580;2,4202;44,0300;2,5850
49,9790;2,4766;37,0700;2,8340
50,3600;2,4430;45,6600;2,3335
50,1300;2,4621;47,8100;2,2016
49,4080;2,5240;41,6700;2,4828
52,0520;2,3545;43,7600;2,6815
50,5060;2,4243;46,3300;2,2701
51,0860;2,4182;39,5900;2,6694
50,6960;2,3991;44,5500;2,5963
52,7890;2,3419;46,1100;2,4078
52,3990;2,3402;47,3900;2,3270
52,8460;2,3094;45,0300;2,4435
52,4640;2,3261;40,8200;2,7423
52,0850;2,3386;42,0600;2,5054
52,3380;2,4012;35,5800;2,9455
52,4530;2,4008;47,3100;2,3689
52,8590;2,3918;45,3300;2,3630
52,8940;2,3623;44,7300;2,4322
53,4610;2,3066;45,5900;2,3591
55,3520;2,1940;48,2700;2,2961
53,9960;2,3496;46,1200;2,4076
53,7620;2,3469;48,0700;2,2192
55,0810;2,2334;46,7700;2,2723
55,4460;2,2083;45,8700;2,4760
55,6450;2,2081;49,1300;2,4274
56,0010;2,2522;50,9500;2,0526
55,9310;2,2532;47,5800;2,2227
56,8460;2,1634;49,9000;2,0651
57,4160;2,0990;49,6700;2,1374
57,3700;2,1785;50,5100;2,0899
57,9550;2,1268;51,0700;2,0697
58,0670;2,1966;47,3800;2,2316
58,7090;2,1001;50,7700;2,1136
60,4330;1,9993;49,5900;2,1845
60,5150;1,9485;49,0300;2,1897
60,2170;2,0124;52,4600;2,0127
60,7110;2,1061;54,4500;1,9178
60,9230;2,0488;52,7000;2,0045
62,0410;1,9137;53,2300;2,0062
62,4850;1,9407;52,4300;2,0615
63,7590;1,8991;54,6200;1,9087
63,4090;1,9326;53,8700;1,9123
65,3700;1,8197;52,2800;2,0607
64,9980;1,8515;55,8000;1,8949
64,7430;1,8909;55,1400;1,8954
65,7040;1,8343;54,9700;1,9495
66,3240;1,8154;54,8000;2,2021
67,4760;1,8031;54,9500;2,1866
67,0640;1,8046;52,6800;2,0672
68,0000;1,7168;56,4600;1,9286
70,0920;1,6663;54,9300;1,9985
70,3480;1,6563;56,8000;1,8950
70,4930;1,6788;58,0200;1,7405
70,4900;1,7464;57,4400;1,8225
71,0230;1,7246;56,9500;1,8922
72,8420;1,5762;58,6100;2,1042
75,6280;1,4290;58,4400;1,7647
75,2060;1,4649;57,9000;2,0428
75,9500;1,5053;58,6200;1,9641
76,0910;1,4835;58,7400;2,0068
78,2580;1,3442;58,5100;1,7951
80,5100;1,2787;60,5800;1,9529
78,0870;1,4862;60,7900;1,9545
80,5620;1,3155;59,4800;1,9783
81,0800;1,2787;59,6100;1,9037
80,6830;1,3679;60,7500;1,9781
81,4350;1,2818;60,5200;1,7845
82,9570;1,2752;60,9500;1,6961
84,2030;1,2243;60,6100;1,9611
83,5210;1,2337;61,0300;2,0075
83,2890;1,2657;60,6400;1,7185
84,8010;1,1949;60,4400;2,1516
84,0720;1,2502;60,4100;1,7163
83,2590;1,2531;60,8000;1,7160
84,1960;1,2444;60,3200;1,7673
