train_accuracy;train_loss;valid_accuracy;valid_loss
4,1040;4,8870;6,1700;4,7222
9,9470;4,3887;10,7000;4,3337
15,0450;4,0910;11,8300;4,2577
18,8610;3,8843;12,1400;4,8397
22,5940;3,6652;19,4700;3,7575
26,7620;3,4628;22,5500;3,5235
29,6320;3,3737;30,3300;3,0418
33,1050;3,1797;29,8700;3,1494
34,8480;3,1594;32,3400;3,0635
37,1940;2,9888;35,2100;2,8547
26,7680;3,4586;21,9500;3,7957
29,6790;3,3875;27,2800;3,3297
32,1860;3,2184;29,8700;3,1751
34,4610;3,0994;32,1100;2,9667
35,2730;3,0848;21,9400;4,1846
36,5880;3,0838;38,5500;2,6468
36,6700;3,0840;33,6700;3,0010
38,7860;2,9457;35,9200;2,8222
40,7120;2,8980;35,9100;2,8903
41,2470;2,8844;41,5200;2,4965
43,2240;2,7908;45,0900;2,3450
44,6510;2,6783;44,5000;2,4238
45,9260;2,6606;41,4400;2,6081
48,2750;2,5559;47,8800;2,2315
49,3800;2,5352;51,9400;2,0149
51,5980;2,4601;53,4700;1,9458
53,9790;2,3388;54,2500;1,9112
55,8550;2,2460;55,9400;1,8631
56,8610;2,1903;56,4300;1,8291
56,6920;2,2693;56,7100;1,8095
36,2090;3,0780;35,3700;2,7690
38,6120;2,9535;37,7800;2,7158
40,3320;2,8836;31,6600;3,2498
40,9600;2,8805;30,8400;3,1902
42,1990;2,7943;38,4800;2,7017
41,9970;2,8044;42,7500;2,4834
42,8990;2,7818;38,0500;2,6984
42,9100;2,8346;35,7700;2,8307
44,0620;2,7425;41,3000;2,5466
43,1140;2,7908;42,2000;2,4788
44,0370;2,7747;43,6300;2,4617
45,5520;2,6695;41,1700;2,5381
45,8380;2,5990;36,7300;2,8589
46,0820;2,6301;45,6100;2,3113
46,5730;2,6397;45,6100;2,3214
47,3640;2,6164;45,4700;2,3468
48,0950;2,5870;45,9600;2,3026
48,8440;2,5502;48,7600;2,1409
49,1810;2,5487;45,7800;2,3667
48,9800;2,6147;46,7400;2,2759
50,8790;2,4599;48,6500;2,1999
52,4160;2,4157;50,6800;2,1475
53,1470;2,3854;50,2200;2,1562
53,2540;2,4032;52,5000;2,0201
53,9910;2,3305;50,5400;2,1016
54,8310;2,3153;54,9800;1,8728
55,2930;2,3169;54,3200;1,9527
57,5930;2,2102;55,9600;1,8509
58,6150;2,0987;54,8400;1,9499
58,9350;2,1907;54,7800;1,9866
61,0730;2,1117;54,6500;1,9486
62,7830;1,9785;57,5100;1,8444
64,0480;1,9078;57,4200;1,8752
65,6240;1,8765;57,8300;1,8581
66,8510;1,8538;58,0100;1,7649
67,3860;1,8870;59,0000;1,7494
68,2360;1,8203;58,2400;1,8369
68,3360;1,8527;59,8400;1,7163
68,7790;1,7827;58,8500;1,8056
70,4500;1,6697;59,3200;1,7817
39,7730;2,8871;37,7100;2,7585
42,7380;2,8200;35,2200;2,9427
44,5050;2,7773;33,4100;3,2454
44,8110;2,6970;45,3700;2,3214
44,7320;2,7694;41,0200;2,7298
44,9890;2,7416;43,9100;2,3782
46,0280;2,6299;45,2200;2,3677
45,8710;2,6547;43,2000;2,4653
47,3060;2,5405;44,5200;2,4040
45,9690;2,6973;45,6800;2,3200
46,4090;2,6761;40,4600;2,6393
