train_accuracy;train_loss;valid_accuracy;valid_loss
5,2250;4,7148;6,1700;4,6981
12,6470;4,0137;12,9900;4,2149
18,6780;3,6165;10,7600;4,7564
23,5330;3,3340;16,9900;4,1619
27,7210;3,1105;19,6100;4,0997
31,3830;2,9091;19,0100;4,2501
34,9020;2,7330;22,8600;4,1252
38,4740;2,5651;28,2100;3,7552
41,5540;2,4186;28,0800;3,8447
43,5190;2,3182;28,9900;3,7768
31,2360;2,9176;23,1600;3,8621
34,6900;2,7551;26,1900;3,5995
36,7180;2,6409;31,8500;3,0536
38,5770;2,5549;28,4400;3,4464
40,1020;2,4712;32,4100;3,1383
41,8360;2,4012;34,6500;3,0953
43,3100;2,3269;30,0100;3,5029
44,8240;2,2578;37,2400;2,8410
46,3530;2,1829;40,7700;2,6324
48,0600;2,1088;43,8300;2,6014
49,6710;2,0368;44,7500;2,4508
51,6250;1,9445;43,7200;2,5641
53,4090;1,8592;48,2200;2,3237
55,3180;1,7706;50,6200;2,1731
57,6430;1,6705;53,5200;2,0640
59,9760;1,5744;53,2600;2,0830
62,1490;1,4803;53,4600;2,0947
64,2160;1,3968;55,7700;1,9683
65,8360;1,3311;57,3900;1,9365
66,5260;1,2998;57,0900;1,9565
41,9060;2,3955;33,7100;2,9997
44,5220;2,2632;37,0500;2,9546
45,9270;2,2024;40,1600;2,6701
46,7530;2,1696;41,6200;2,7050
47,4960;2,1357;30,9100;3,7295
48,0910;2,1121;37,0800;2,9102
48,4840;2,0855;41,8500;2,5939
49,1720;2,0571;43,1000;2,6045
49,4240;2,0389;42,6900;2,5922
49,8500;2,0184;42,4500;2,6525
50,5410;1,9907;37,7100;3,0310
51,2190;1,9608;43,2700;2,6147
51,9820;1,9312;42,7000;2,6476
52,6660;1,8984;40,9100;2,7862
53,1760;1,8714;41,2100;2,7745
53,9990;1,8359;44,6600;2,4841
54,5000;1,8109;46,8800;2,4651
55,4420;1,7689;49,4900;2,2634
56,2310;1,7353;48,0900;2,2839
57,2550;1,6895;48,7600;2,2838
57,9760;1,6543;45,9300;2,6078
59,0460;1,6131;50,3600;2,2080
60,1810;1,5601;50,4900;2,2589
60,8620;1,5241;52,3200;2,1370
62,1550;1,4735;53,6000;2,0878
63,5540;1,4177;53,8000;2,1452
64,8050;1,3624;54,3600;2,0677
66,1100;1,3078;55,0200;2,0580
67,3640;1,2494;53,4500;2,1942
68,8340;1,1875;55,9700;2,0775
70,0820;1,1342;57,9200;1,9699
71,8300;1,0713;56,5100;2,0373
73,1230;1,0176;58,0600;2,0124
74,6550;0,9588;59,0100;1,9805
76,0270;0,9085;59,0600;1,9320
77,2900;0,8623;59,6900;1,8849
78,3110;0,8260;60,0500;1,8828
79,0690;0,7980;60,3900;1,8888
79,5310;0,7822;60,6200;1,8647
79,8290;0,7695;60,5200;1,8635
44,5890;2,2698;39,3100;2,7664
48,7390;2,0631;35,0300;3,1774
50,1220;2,0046;42,6700;2,6411
50,8390;1,9746;40,1500;2,8072
51,2190;1,9535;45,3400;2,4346
51,6840;1,9408;42,1300;2,7047
51,9930;1,9293;38,9100;2,9886
52,0310;1,9197;39,8700;2,9651
52,4340;1,9086;38,3500;3,1177
52,4660;1,9016;43,9200;2,6261
52,6020;1,8945;42,7600;2,6746
52,7930;1,8890;43,0000;2,6912
52,9570;1,8807;36,9000;3,1036
53,4640;1,8649;41,5300;2,7460
53,5210;1,8589;46,7700;2,4696
53,5720;1,8522;45,1600;2,5234
53,8200;1,8414;40,4700;2,9064
54,1480;1,8314;44,9900;2,6030
54,3170;1,8268;47,9000;2,4242
54,3810;1,8151;45,3100;2,4839
54,7520;1,7987;42,2000;2,8466
54,8640;1,7958;47,7800;2,3106
55,3870;1,7786;46,9500;2,4682
55,6630;1,7650;45,7800;2,5039
55,7590;1,7543;40,9100;2,7866
55,9180;1,7448;46,4100;2,4883
56,4390;1,7260;44,5400;2,7429
56,6410;1,7143;45,4300;2,5778
56,9030;1,7062;48,0300;2,4646
57,3770;1,6824;42,8900;2,7485
