train_accuracy;train_loss;valid_accuracy;valid_loss
4,8240;4,7417;4,3700;5,0270
12,0710;4,0705;11,7200;4,2728
18,1970;3,6494;12,6700;4,4249
23,1910;3,3500;14,3900;4,5146
27,6000;3,1042;19,9600;4,2015
31,6820;2,8958;20,9900;3,9159
35,6210;2,6981;28,9000;3,4383
39,0630;2,5294;25,3400;3,9914
42,2930;2,3729;31,2200;3,4060
44,6530;2,2658;32,5000;3,3361
31,6720;2,8949;23,8700;3,6125
35,1780;2,7122;18,5700;4,4965
37,5300;2,6013;29,9900;3,3580
39,1320;2,5166;19,4400;4,5394
40,9070;2,4307;38,0900;2,9303
42,5640;2,3538;38,2100;2,7307
44,0650;2,2855;36,9600;2,8793
45,6880;2,2098;41,5200;2,6501
47,3460;2,1393;42,9400;2,6501
48,9270;2,0593;41,1200;2,6752
50,6940;1,9724;44,9000;2,4776
52,5040;1,8938;46,1000;2,4263
54,6330;1,8009;47,9600;2,3652
56,7830;1,7070;49,1500;2,3106
58,9660;1,6109;52,7800;2,1756
61,4460;1,5066;54,8600;2,0349
63,6950;1,4116;55,8500;1,9505
65,8650;1,3263;56,9700;1,9047
67,3060;1,2642;57,8600;1,9229
68,4430;1,2224;58,4300;1,8393
42,7120;2,3492;35,1200;3,0803
45,7920;2,2094;34,0800;3,3730
46,5110;2,1630;37,8700;2,9473
47,5790;2,1165;35,9500;3,1377
48,6590;2,0796;42,8000;2,4633
48,9290;2,0556;40,9000;2,6447
49,6050;2,0332;41,0200;2,6480
50,0890;2,0056;40,7200;2,8630
50,7790;1,9793;42,9700;2,5784
51,1790;1,9591;42,3500;2,5964
51,8910;1,9268;38,3000;2,8759
52,4330;1,9009;40,5600;2,7869
53,2790;1,8681;44,7100;2,4936
53,7310;1,8435;43,1000;2,5537
54,3860;1,8112;46,3300;2,5431
55,0530;1,7830;47,9100;2,3052
56,0640;1,7398;46,9000;2,3640
56,6460;1,7114;46,6100;2,4688
57,5630;1,6707;44,4700;2,5989
58,5830;1,6251;48,5400;2,3516
59,4630;1,5883;50,4300;2,2181
60,4010;1,5413;49,6000;2,3172
61,4560;1,4946;51,2200;2,2248
62,6060;1,4513;52,2800;2,1380
63,5190;1,4044;52,6300;2,1033
65,0700;1,3458;53,0600;2,1288
66,2820;1,2949;54,1200;2,0962
67,5930;1,2364;55,3600;2,0725
69,2460;1,1733;55,4000;2,1382
70,4620;1,1154;55,3400;2,0784
72,2770;1,0502;56,7900;2,0336
73,7460;0,9914;57,0800;2,0608
75,3680;0,9335;57,3900;2,0646
76,7000;0,8763;59,5300;1,9621
78,2540;0,8238;58,8400;1,9892
79,5400;0,7769;59,5500;1,9814
80,3150;0,7447;60,0700;1,9209
81,0500;0,7181;60,4700;1,9572
81,7520;0,6991;60,0500;1,9222
82,1890;0,6852;60,2100;1,9165
45,1200;2,2310;35,0100;3,1790
49,9210;2,0082;35,9000;3,0807
51,1940;1,9517;39,0400;2,9113
52,1740;1,9167;41,6200;2,6862
52,3460;1,9027;42,6200;2,7306
52,7370;1,8875;38,4100;3,0549
53,1000;1,8705;43,5300;2,6198
53,3320;1,8602;42,1900;2,7084
53,7990;1,8465;43,8600;2,5694
53,8720;1,8388;40,2000;2,8845
53,8770;1,8350;43,1900;2,6970
54,0410;1,8309;44,0300;2,5974
54,1870;1,8210;45,4700;2,5111
54,3720;1,8079;39,5400;2,8733
54,7320;1,8013;41,5000;2,8371
54,8420;1,7929;44,2100;2,6837
55,0300;1,7861;45,6300;2,4756
55,3570;1,7714;35,9100;3,2352
55,7130;1,7568;45,4200;2,5829
55,7860;1,7555;45,7100;2,4812
55,7540;1,7563;39,6500;2,9986
56,0710;1,7293;43,0300;2,6476
56,5000;1,7147;43,6100;2,7059
56,8980;1,7036;45,4400;2,6526
57,2390;1,6888;46,0600;2,4285
57,3190;1,6809;41,0000;2,8246
57,7450;1,6631;44,9000;2,6000
58,1450;1,6465;45,9400;2,5203
58,4510;1,6372;45,0500;2,5858
58,6030;1,6225;48,8000;2,3529
58,8400;1,6102;45,0000;2,7150
59,2020;1,5958;41,6500;3,0278
59,8470;1,5722;47,6700;2,4753
60,1800;1,5529;49,0200;2,3341
60,6830;1,5346;47,9900;2,3722
61,0440;1,5190;50,4400;2,2794
61,5310;1,4996;50,6100;2,2901
62,0690;1,4751;43,8800;2,8445
62,3450;1,4599;48,0300;2,4381
62,6890;1,4401;49,7300;2,4208
63,2600;1,4163;52,4100;2,2033
63,7600;1,3917;51,2100;2,3236
64,4500;1,3684;47,6800;2,5268
64,8700;1,3426;51,6000;2,2724
65,6430;1,3182;52,0800;2,2271
66,1120;1,2907;52,3900;2,3005
66,6920;1,2679;52,4800;2,2668
67,3110;1,2471;54,0200;2,1559
68,0290;1,2183;51,5100;2,3392
68,9160;1,1828;55,2900;2,0762
69,6450;1,1491;53,8300;2,1459
70,2000;1,1260;53,7100;2,2088
70,8850;1,0971;53,4200;2,2102
71,7740;1,0638;56,0700;2,1281
72,6730;1,0294;54,2000;2,2761
73,3280;0,9968;54,5000;2,3445
73,9780;0,9696;55,1900;2,1812
74,8010;0,9357;57,1500;2,0595
76,1940;0,8903;55,1700;2,2671
76,8350;0,8611;57,3500;2,0994
77,9070;0,8214;56,1500;2,1467
78,8740;0,7899;58,0700;2,1021
79,8010;0,7516;56,4000;2,2025
80,6790;0,7175;56,9300;2,2277
81,5350;0,6877;57,5300;2,1759
82,6800;0,6443;57,2800;2,2616
83,5580;0,6136;59,4800;2,0762
84,4410;0,5817;58,6800;2,1639
85,4440;0,5490;58,9200;2,1212
86,1160;0,5253;60,5100;2,1294
86,9440;0,4985;60,0300;2,1516
87,5720;0,4784;59,3700;2,1355
88,0520;0,4611;58,8400;2,2205
88,6610;0,4407;59,3300;2,1258
88,9600;0,4313;59,8300;2,1146
89,4030;0,4182;59,5800;2,1149
89,6680;0,4083;59,7300;2,2265
89,7270;0,4059;59,8900;2,1431
89,8620;0,4001;59,5100;2,2032
90,0070;0,3990;59,7800;2,1742
