train_accuracy;train_loss;valid_accuracy;valid_loss
4,0670;4,9460;7,7100;4,7947
10,2800;4,4848;10,5000;4,8031
15,6640;4,1723;15,0600;4,5243
20,0600;3,9421;17,3000;4,5833
24,1800;3,7547;26,9200;3,7838
27,8330;3,5866;25,2300;4,0529
31,1280;3,4472;29,1500;4,0183
34,2480;3,3159;33,2400;3,7489
36,8860;3,2052;35,4300;3,6641
38,6080;3,1367;37,1900;3,6084
28,7760;3,5534;23,2400;4,8737
31,8630;3,4102;26,2300;4,2314
34,2350;3,3040;36,0400;3,7783
36,7660;3,2056;29,5200;4,1397
38,7340;3,1207;35,9000;4,0955
40,6850;3,0435;39,0800;3,5426
42,4470;2,9716;38,3000;3,9315
44,3690;2,8920;42,5900;3,5128
46,2570;2,8219;46,2400;3,5563
47,8520;2,7617;48,8600;3,3405
49,8010;2,6863;45,1600;3,5350
51,1890;2,6317;51,3400;3,1021
53,1310;2,5637;50,2900;3,2015
54,7870;2,5033;54,3600;2,9978
56,6580;2,4339;52,6100;3,1820
58,1140;2,3818;56,4200;2,8866
59,7160;2,3285;56,2300;2,9124
60,8000;2,2894;56,6300;2,8286
61,7040;2,2596;56,9100;2,8394
62,3330;2,2346;57,4700;2,8211
46,5390;2,8033;36,9200;4,2513
47,9340;2,7509;43,4700;3,5174
49,3450;2,7021;42,5800;3,5426
50,2830;2,6527;48,1300;3,3904
51,6430;2,6098;48,4800;3,2543
52,7170;2,5746;50,6500;3,0321
53,5730;2,5325;53,0000;2,9177
54,5750;2,4989;50,8600;3,1790
55,4650;2,4678;53,9900;2,8753
56,4790;2,4292;50,2400;3,0277
57,3280;2,3985;55,6000;2,7916
58,0580;2,3696;51,2600;2,9996
59,2440;2,3262;55,3400;2,9793
60,1500;2,2978;54,5400;2,7462
61,0170;2,2640;56,5800;2,7096
62,1670;2,2248;56,8800;2,7320
63,2470;2,1880;58,1100;2,6828
64,4220;2,1474;57,7700;2,5960
65,2510;2,1154;60,8200;2,5620
66,4750;2,0762;58,7800;2,6080
67,5940;2,0393;58,0300;2,6636
68,5370;2,0069;57,5200;2,7069
69,9100;1,9599;62,0300;2,6798
71,0120;1,9255;62,7400;2,5198
72,1160;1,8914;62,8600;2,4651
73,4040;1,8524;63,6200;2,4334
74,7680;1,8114;62,3200;2,5200
75,7450;1,7789;63,9300;2,4518
77,0850;1,7384;64,6300;2,4308
77,8480;1,7117;64,0200;2,4353
79,0000;1,6757;65,0600;2,3410
80,0510;1,6455;65,0000;2,3053
80,8040;1,6240;64,8500;2,3551
81,4920;1,5988;65,1000;2,3217
82,1390;1,5791;64,9100;2,3298
82,9040;1,5586;65,1200;2,3205
83,1860;1,5501;65,3000;2,3292
83,2980;1,5452;65,3900;2,3161
83,4200;1,5402;65,8400;2,2937
83,9000;1,5293;65,6400;2,2865
59,3290;2,3118;53,4800;2,7038
60,3030;2,2806;53,2800;2,8364
61,2730;2,2454;56,6100;2,5794
62,0760;2,2158;56,3100;2,6121
62,5030;2,2035;53,7100;2,7554
63,4200;2,1740;53,2000;2,7713
63,8930;2,1561;57,9400;2,5341
64,4420;2,1382;57,2000;2,6226
65,1320;2,1175;55,9900;2,6520
65,5900;2,1015;55,5700;2,7122
66,1810;2,0852;57,3500;2,5797
66,9470;2,0613;55,3000;2,6923
67,3290;2,0449;55,9900;2,6520
67,6740;2,0290;57,6300;2,5452
68,1260;2,0157;58,8000;2,5213
68,6270;1,9976;57,3400;2,6039
69,0240;1,9859;60,0100;2,4350
69,7100;1,9667;58,7800;2,4956
70,0940;1,9521;60,4200;2,4665
70,5640;1,9410;60,7400;2,4485
70,9340;1,9210;60,9000;2,4174
71,5090;1,9043;59,1800;2,4974
71,9130;1,8905;59,3800;2,5108
72,5000;1,8788;60,5100;2,4825
72,6840;1,8654;59,1200;2,5645
73,3320;1,8459;60,0600;2,4813
73,7550;1,8346;60,3900;2,4530
74,2340;1,8174;59,9200;2,4693
74,9580;1,7969;57,4000;2,6133
75,1870;1,7871;59,2200;2,5124
75,9160;1,7670;61,6100;2,4563
76,2840;1,7539;59,5900;2,5361
76,6610;1,7376;61,0800;2,4841
77,2430;1,7253;61,8700;2,3927
78,0090;1,7019;63,1000;2,3412
78,4010;1,6883;61,3900;2,4059
79,0730;1,6700;61,4900;2,3894
79,3880;1,6585;61,8100;2,3715
79,8240;1,6427;62,0500;2,4362
